"";"mrmrRanking";"rfRanking";"daRanking"
"1";"SCARA5";"HOXB13";"CD79B"
"2";"HOXB13";"AC091179.1";"BTK"
"3";"SNHG11";"HOXD4";"BRCA1"
"4";"OTOP3";"PRAC1";"WAS"
"5";"RXRG";"INSL5";"FAS"
"6";"MSX2";"PVT1";"PREX2"
"7";"ESM1";"OSBPL3";"ROS1"
"8";"CDH3";"SCGN";"POLQ"
"9";"FTSJ1";"CA2";"FGFR2"
"10";"OSBPL3";"MSX2";"ATP2B3"
"11";"DRD5";"KRTAP13-2";"CBFB"
"12";"ZSWIM4";"ESM1";"FCGR2B"
"13";"GREM2";"AC108865.2";"FGFR1"
"14";"SLC39A10";"CDH3";"RUNX1T1"
"15";"MFSD12";"PYY";"PTPRC"
"16";"AC091179.1";"VSTM2A";"GNA11"
"17";"ASPA";"BEST4";"POLE2"
"18";"KRT80";"ASPA";"CCNB1IP1"
"19";"BEST4";"GPD1L";"SALL4"
"20";"SGCG";"GUCA2A";"POLA1"
